path_id	path	area	textual_hunks	parent_blob	audited_blob
P001	.beads/beads.db	tracker-metadata	0	689d357de0d9da516b965b5da1eea30d07dfc84f	77d47916b9819d85f44495ae34940e06d49f386a
P002	.beads/issues.jsonl	tracker-metadata	8	08d92e27e27d7b7d1f41aa832bf6c262fd8fc330	faf6d04d056e43b291f6489637d82ea33f21fc29
P003	.beads/last-touched	tracker-metadata	1	a7b63922d5ef7fc6cfa6ccd14a226ac6166cc779	05aefec6d741b60725c36f4bd83f15acea8d019e
P004	AGENTS.md	documentation	11	58fb999e377ba0da4d6b68e288a71e4aa2ede82b	a503e4bc6880be34f91033aa8cc57a9e2b6f2e19
P005	CLAUDE.md	documentation	1	f22933f6600a9dd8780896e10d5f7da1a37f33f8	15060ebf8411570f6c00b6de9bf372745bb4464e
P006	common/common.cpp	production	7	c662c266f4e69516cd7f4cf2b72f247280000b75	0fb36127ec5add83ccbfc190830ff9f5554ad745
P007	common/sampling.cpp	production	6	5665d0a706ce85e63b1da38471405d838ef2439c	84707869fc7f4638de7eeee0fda22a2969dcd4b7
P008	docs/backend/SYCL.md	documentation	1	1e770ed10564db697e779f69c2c928b56ec1cd02	6a1b8b1c40d7db75118b6ab88a0259519e94ebe5
P009	docs/design/sycl-allocation-site-inventory.md	documentation	1	9612a494b8df01964bea3f52ec759a3f48589d60	72f5429349cf8eb94881ebd0df13dc8acf1d7297
P010	docs/design/sycl-canonical-memory-architecture.md	documentation	4	86827d681c03f75e91cbc9235bed9cd893129472	9b155bdf6f0c46533ce5a510299ed34d68f61674
P011	docs/plans/2026-01-08-layout-cache-plan.md	documentation	2	0ed0e0577962d77138f91faf5a253777f779ecb1	d847fb87dc9584da1c5aadf25c31435d0f9d7fd5
P012	docs/plans/2026-02-09-host-weight-streaming.md	documentation	1	626761819308a3b303627c9254b23cbc37a0a536	56c68e45ec9b4ccaf0af0e8d840d18a23918eeed
P013	docs/plans/2026-02-10-data-local-compute-impl.md	documentation	1	d3c020a0a9f34562b53c852eb8185a84c30fec40	b295e94d25b8b83a4ad5fabe68ac18f0a4f32ab4
P014	docs/plans/2026-04-17-mxfp4-parity-audit.md	documentation	1	c609a400b415f27cab6991e497d360265417352b	a43a6cf074e94c7a5c8375741ba44aa0e4639589
P015	docs/plans/data/placement-envelope-validation/d0.7c-handle-boundary-audit.md	documentation	3	8144b599ba6a1beff7ea4f6cb2b9a38f65f2b76f	e562ea31918de850bbba635680afd8572afeeeee
P016	docs/plans/sycl-prompt-processing-optimization.md	documentation	2	c4dbee00726c12bcdc125295f1c6af4060fdc31f	fcf2033ed62bfbe70cbd89d16f1a62994e266498
P017	examples/debug/debug.cpp	tooling	2	761e7a2db54e73920e0190ac512e629b84b40dec	8b8ccc5261d495fac726e33af9404c0d38f4213b
P018	ggml/include/ggml-sycl.h	production	1	3541307ce02111939cb3224b1704aa06d10fa147	99d0c79eeb66cab5acba22e42d35beb583e4c65b
P019	ggml/src/ggml-sycl/add-id.cpp	production	14	e8043c5f77f5f959b5300c5d5acba20ab71f9dc3	f6792697608830dde63aa3c97e37bdee637cfcd3
P020	ggml/src/ggml-sycl/binbcast.cpp	production	18	544aa8f974eeba12af0bd59841a7a7033338739b	6fd889e8db523a45e9ba614ffa0e6bcec73bbaf9
P021	ggml/src/ggml-sycl/ccl-comm.cpp	production	43	e349c1351b6054fa5eeaa45c7b358f4a2e889107	1dd40a3950b84916117cb8d13d65fdeb909f49c0
P022	ggml/src/ggml-sycl/common.cpp	production	138	c003bc63640ae46aa4185801964a8337b1ca636e	a810722f623a8d6a6f11d06a4586a810eb998b6f
P023	ggml/src/ggml-sycl/common.hpp	production	202	db5dbd4ea4d2c10a199afd8c3565ad33356080ec	00fdbf307f3d467ea0d51270d1f2f5e7abf3ef1d
P024	ggml/src/ggml-sycl/compute-buffer-manager.cpp	production	14	f7ca65357063e092aa424de08a29f9918c761063	02340d89199629fd12a247af30479b357a6978cb
P025	ggml/src/ggml-sycl/compute-buffer-manager.hpp	production	4	ca766251a5d2e3b51c495e909219d5f83d62c8d5	f8383ec64f6d01153382d8850651cc04490d1c87
P026	ggml/src/ggml-sycl/cont-batching.hpp	production	129	2630a730c458997173b5c28a9ba746a9ae0d8af9	7a271d9c42276d6b58c2c14254db61c0368ffa04
P027	ggml/src/ggml-sycl/convert.cpp	production	13	b7aa18dc56a9b6df8ed628e4379c0ce9c840d9b1	b5176358f778fc016d8f3896d9d13ac89a9764b3
