name,category,metadata,device,queue_kind,count,total_ns,mean_ns,min_ns,p50_ns,p95_ns,max_ns,bytes,failed_timestamps,graph_recorded
mxfp4.gateup.xmx_tiled_dpas_m2,mmvq,path=packed-q8-m2;role=gateup;tiles=static;total_batches=runtime,0,compute,9240,1659319093,179579,178438,179480,180417,227708,0,0,0
mxfp4.soa.batched,mmvq,path=soa;role=matvec,0,compute,9240,1042518583,112826,112188,112812,113229,117396,0,0,0
mulmat.mmvq.q8_0_soa,mulmat,ncols=2880;nrows=201088,0,compute,385,392927799,1020591,1019375,1020625,1021146,1022083,0,0,0
mulmat.mmvq.q8_0_soa,mulmat,ncols=2880;nrows=4096,0,compute,9240,224496450,24296,23020,24063,25625,52605,0,0,0
mulmat.mmvq.q8_0_coalesced,mulmat,ncols=4096;nrows=2880,0,compute,9240,217203929,23506,22813,23541,23855,36666,0,0,0
fattn.decode.esimd_partitioned,fattn,D=64;softcap=0;ne01=1;ne02=64;ne03=1,0,compute,9240,106037272,11475,10416,11458,11667,34896,0,0,0
mulmat.mmvq.q8_0_soa,mulmat,ncols=2880;nrows=512,0,compute,18480,101675187,5501,5312,5521,5625,15833,0,0,0
sycl.set_rows.generic,memory,role=set_rows;kind=generic,0,compute,18480,63139557,3416,2812,3437,3854,9584,18923520,0,0
sycl.binbcast.mul,binbcast,role=binbcast;mode=kernel;op=mul;variant=nd,0,compute,27720,59182052,2134,1666,2187,2396,7500,0,0,0
norm.add_rms_norm,norm,ncols=2880;nrows=1,0,compute,18480,56928495,3080,2291,3125,3334,10729,0,0,0
sycl.rope,rope,role=rope,0,compute,18480,49857670,2697,1875,3020,3438,10521,170311680,0,0
sycl.binbcast.add,binbcast,role=binbcast;mode=kernel;op=add;variant=nd,0,compute,27720,46971705,1694,1458,1563,1979,3854,0,0,0
sycl.memcpy.mem_ops,memory,role=memcpy;path=mem_ops,0,copy,18937,35284384,1863,1093,1250,1407,39688,314572672,388,0
sycl.binbcast.event,binbcast,role=binbcast;mode=kernel;event_mode=safe,0,compute,55440,28245499,509,416,521,625,1771,0,0,0
sycl.softmax.forward,softmax,role=softmax;direction=forward,0,compute,9240,19477172,2107,1979,2083,2291,2917,147840,0,0
mxfp4.pack_q8.single_col,mmvq,path=packed-q8;role=pack,0,compute,9240,15893324,1720,1562,1667,1875,2396,1916006400,0,0
mxfp4.quantize.activation_q8_soa,mmvq,role=activation;layout=q8_soa,0,compute,9240,13230896,1431,1041,1458,1667,4896,29937600,0,0
sycl.memcpy.mem_fill,memory,role=memfill;path=mem_ops,0,copy,9625,12208862,1268,1093,1250,1407,4167,33572000,24,0
norm.rms_norm_mul,norm,ncols=2880;nrows=1,0,compute,385,1476872,3836,3645,3750,4167,16250,0,0,0
sycl.get_rows.marker,memory,role=get_rows;kind=marker;path=indices_release,0,compute,1155,600001,519,416,521,625,3229,0,0,0
mulmat.dispatch.entry,mulmat_route,src0_type=q8_0;M=1,0,host,385,0,0,0,0,0,0,0,0,0
mulmat.mmvq.entry,mulmat_route,src0_type=q8_0;src1_ncols=1,0,host,37345,0,0,0,0,0,0,0,0,0
