t_s	act_freq	cur_freq	throttle_status	reason_pl2	bench_pid	rss_anon_kb
0.1	0	2800	1	1	-	-
0.7	0	400	0	0	-	-
1.3	0	2800	0	0	-	-
2.0	0	2800	0	0	3671283	392652
2.6	0	2800	0	0	3671283	392652
3.2	0	2800	0	0	3671283	392652
3.8	0	2800	0	0	3671283	392652
4.5	0	2800	0	0	3671283	392652
5.1	0	2800	0	0	3671283	392652
5.7	0	2800	0	0	3671283	392652
6.4	0	2800	0	0	3671283	392652
7.0	0	2800	0	0	3671283	392652
7.7	0	2800	0	0	3671283	392652
8.3	0	2800	0	1	3671283	392652
9.0	0	2800	0	0	3671283	392652
9.6	0	2800	0	0	3671283	392652
10.3	0	2800	0	0	3671283	392652
10.9	0	2800	0	0	3671283	392652
11.6	0	2800	0	0	3671283	392652
12.2	0	2800	0	0	3671283	392652
12.8	0	2800	0	0	3671283	392652
13.5	0	2800	0	0	3671283	392652
14.1	0	2800	0	0	3671283	622936
14.8	2800	2800	0	0	3671283	627732
15.4	0	1867	0	0	3671283	637116
16.1	1750	1717	0	0	3671283	637120
16.7	1150	1117	0	0	3671283	637308
17.3	0	750	0	0	3671283	639068
18.0	0	533	0	0	3671283	641028
18.6	0	600	0	0	3671283	1137812
19.2	2800	2800	0	0	3671283	1520276
19.9	2800	2800	0	0	3671283	1546756
20.5	2800	2800	0	0	3671283	1571608
21.1	2800	2800	0	0	3671283	1600996
21.8	2800	2800	0	0	3671283	1623040
22.4	2800	2800	0	0	3671283	1647348
23.0	2800	2800	0	0	3671283	1690404
23.7	2800	2800	0	0	3671283	1694432
24.3	2800	2800	0	0	3671283	1723132
24.9	2800	2800	0	0	3671283	1748328
25.5	2800	2800	0	0	3671283	1773744
26.2	2800	2800	0	0	3671283	1801320
26.8	2800	2800	0	0	3671283	1828580
27.5	2800	2800	0	0	3671283	1851356
28.1	2800	2800	0	0	3671283	1874644
28.7	2800	2800	0	0	3671283	1900072
29.3	2800	2800	0	0	3671283	1924360
30.0	2800	2800	0	0	3671283	1949440
30.6	2800	2800	0	0	3671283	1970480
31.2	2800	2800	0	0	3671283	1999136
31.9	2800	2800	0	0	3671283	2025624
32.5	2800	2800	0	0	3671283	2048608
33.1	2800	2800	0	0	3671283	2072952
33.7	2800	2800	0	0	3671283	2098392
34.3	2800	2800	0	0	3671283	2122504
34.9	2800	2800	0	0	3671283	2148296
35.6	2800	2800	0	0	3671283	2174376
36.2	2800	2800	0	0	3671283	2201204
36.9	2800	2800	0	0	3671283	2225756
37.5	2800	2800	0	0	3671283	2206784
38.1	2800	2800	0	0	3671283	2206784
38.7	2800	2800	0	0	3671283	2206784
39.3	0	2800	0	0	3671283	2207976
39.9	0	2800	0	0	3671283	1884184
40.6	0	2800	0	0	3671283	1838076
41.1	0	2800	0	0	-	-
