t_s	act_freq	cur_freq	throttle_status	reason_pl2	rss_anon_kb
0.1	0	400	0	0	-
0.7	2800	2800	0	0	104444
1.2	0	2800	0	0	242472
1.8	0	2800	0	0	392648
2.4	0	2800	0	0	392648
2.9	0	2800	0	0	392648
3.5	0	2800	0	0	392648
4.0	0	2800	0	0	392648
4.6	0	2800	0	0	392648
5.2	0	2800	0	0	392648
5.7	0	2800	0	0	392648
6.3	0	2800	0	0	392648
6.8	0	2800	0	0	392648
7.4	0	2800	0	0	392648
8.0	0	2800	0	0	392648
8.5	0	2800	0	0	622932
9.1	2800	2800	0	0	627152
9.6	2100	2067	0	0	637112
10.2	0	1350	0	0	637116
10.8	0	983	0	0	637124
11.3	0	917	0	0	638700
11.9	700	667	0	0	640312
12.5	600	567	0	0	692236
13.0	2800	2800	0	0	1511912
13.6	2800	2800	0	0	1540264
14.1	2800	2800	0	0	1564100
14.7	2800	2800	0	0	1600052
15.3	2800	2800	0	0	1619448
15.8	2800	2800	0	0	1646204
16.4	2800	2800	0	0	1668320
17.0	2800	2800	0	0	1689444
17.5	2800	2800	0	0	1711436
18.1	2800	2800	0	0	1732220
18.7	2800	2800	0	0	1751900
19.3	2800	2800	0	0	1781016
19.8	2800	2800	0	0	1806360
20.4	2800	2800	0	0	1832504
20.9	2800	2800	0	0	1858900
21.5	2800	2800	0	0	1889212
22.0	2800	2800	0	0	1917080
22.6	2800	2800	0	0	1947416
23.1	2800	2800	0	0	1975084
23.7	2800	2800	0	0	2002844
24.2	2800	2800	0	0	2029916
24.8	2800	2800	0	0	2057200
25.3	2800	2800	0	0	2083988
25.9	2800	2800	0	0	2112396
26.4	2800	2800	0	0	2140672
27.0	2800	2800	0	0	2182116
27.5	2800	2800	0	0	2191404
28.1	2800	2800	0	0	2216032
28.6	2800	2800	0	0	2206840
29.2	2800	2800	0	0	2206840
29.8	2800	2800	0	0	2206840
30.3	2800	2800	0	0	2206840
30.9	0	2800	0	0	2113752
31.4	2800	2800	0	0	1838008
